time="2025-12-22 16:41:58" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-22 16:42:26" level=info msg="| 404 |          41ns |       127.0.0.1 | GET | / |"
time="2025-12-22 16:45:55" level=info msg="| 200 |    6.273709ms |             ::1 | GET | /notice?kefu_id=agent |"
time="2025-12-22 16:45:55" level=info msg="| 200 |     34.0585ms |             ::1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=272bc178-b924-4600-9071-a32e122a1042 |"
time="2025-12-22 16:46:01" level=info msg="| 200 |   18.067541ms |             ::1 | POST | /2/message |"
time="2025-12-22 16:46:04" level=info msg="| 200 |   38.959792ms |             ::1 | GET | /chat_main |"
time="2025-12-22 16:46:04" level=info msg="| 200 |    1.383208ms |             ::1 | GET | /ipblacks |"
time="2025-12-22 16:46:04" level=info msg="| 200 |    2.738417ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-22 16:46:04" level=info msg="| 200 |    2.692042ms |             ::1 | GET | /replys |"
time="2025-12-22 16:46:04" level=info msg="| 200 |    4.448333ms |             ::1 | GET | /kefuinfo |"
time="2025-12-22 16:46:05" level=info msg="| 200 |    3.288542ms |             ::1 | GET | /visitors?page=1&pagesize=20 |"
time="2025-12-22 16:46:06" level=info msg="| 200 |    1.080542ms |             ::1 | GET | /visitor?visitorId=272bc178-b924-4600-9071-a32e122a1042 |"
time="2025-12-22 16:46:06" level=info msg="| 200 |    3.276667ms |             ::1 | GET | /2/messagesPages?page=1&pagesize=15&visitor_id=272bc178-b924-4600-9071-a32e122a1042 |"
time="2025-12-22 16:46:08" level=info msg="send_kefu_message <nil> {\"type\":\"message\",\"data\":{\"name\":\"Open Source LiveChat Support\",\"avator\":\"/static/images/4.jpg\",\"id\":\"272bc178-b924-4600-9071-a32e122a1042\",\"visitor_id\":\"\",\"group\":\"\",\"time\":\"2025-12-22 16:46:08\",\"to_id\":\"272bc178-b924-4600-9071-a32e122a1042\",\"content\":\"22\",\"city\":\"\",\"client_ip\":\"\",\"refer\":\"\",\"is_kefu\":\"yes\"}}"
time="2025-12-22 16:46:08" level=info msg="| 200 |     11.0655ms |             ::1 | POST | /kefu/message |"
time="2025-12-22 16:46:08" level=info msg="| 404 |         125ns |             ::1 | GET | /favicon.ico |"
time="2025-12-22 16:46:25" level=info msg="| 200 |    8.334375ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-22 16:46:33" level=info msg="| 200 |   59.534958ms |             ::1 | GET | /setting |"
time="2025-12-22 16:46:33" level=info msg="| 200 | 29.249636291s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTc2NjM5MzExMiwia2VmdV9pZCI6MSwia2VmdV9uYW1lIjoiYWdlbnQifQ.bko5MeMhwEGoiZWVuAksukFANiBQcZCnT6YnHlHmU5s |"
time="2025-12-22 16:46:33" level=info msg="| 200 |      1.2885ms |             ::1 | GET | /kefuinfo |"
time="2025-12-22 16:46:33" level=info msg="| 200 |    1.148875ms |             ::1 | GET | /configs |"
time="2025-12-22 16:48:33" level=info msg="| 200 |   21.178875ms |             ::1 | GET | /chat_main |"
time="2025-12-22 16:48:33" level=info msg="| 200 |   72.541125ms |             ::1 | GET | /ipblacks |"
time="2025-12-22 16:48:33" level=info msg="| 200 |   73.273334ms |             ::1 | GET | /kefuinfo |"
time="2025-12-22 16:48:33" level=info msg="| 200 |   73.482625ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-22 16:48:33" level=info msg="| 200 |   74.439875ms |             ::1 | GET | /replys |"
time="2025-12-22 16:48:34" level=info msg="| 200 |    5.628667ms |             ::1 | GET | /pannel |"
time="2025-12-22 16:48:34" level=info msg="| 200 |  840.420916ms |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTc2NjM5MzExMiwia2VmdV9pZCI6MSwia2VmdV9uYW1lIjoiYWdlbnQifQ.bko5MeMhwEGoiZWVuAksukFANiBQcZCnT6YnHlHmU5s |"
time="2025-12-22 16:48:34" level=info msg="| 200 |    1.280042ms |             ::1 | GET | /kefuinfo |"
time="2025-12-22 16:48:34" level=info msg="| 200 |    2.565458ms |             ::1 | GET | /configs |"
time="2025-12-22 16:53:46" level=info msg="| 200 |   65.269875ms |             ::1 | GET | /main |"
time="2025-12-22 16:53:46" level=info msg="| 404 |          42ns |             ::1 | GET | /assets/js/functions.js |"
time="2025-12-22 16:53:47" level=info msg="| 200 |   12.882375ms |             ::1 | GET | /kefuinfo |"
time="2025-12-22 16:53:47" level=info msg="| 200 |       8.754ms |             ::1 | GET | /pannel |"
time="2025-12-22 16:53:47" level=info msg="| 200 |    1.565708ms |             ::1 | GET | /kefuinfo |"
time="2025-12-22 16:53:47" level=info msg="| 200 |    9.852833ms |             ::1 | GET | /configs |"
time="2025-12-22 16:53:57" level=info msg="| 200 |      15.153ms |             ::1 | GET | /chat_main |"
time="2025-12-22 16:53:57" level=info msg="| 200 |    2.085959ms |             ::1 | GET | /kefuinfo |"
time="2025-12-22 16:53:57" level=info msg="| 200 |     1.91325ms |             ::1 | GET | /ipblacks |"
time="2025-12-22 16:53:57" level=info msg="| 200 |     4.59325ms |             ::1 | GET | /replys |"
time="2025-12-22 16:53:57" level=info msg="| 200 |    6.282292ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-22 16:54:13" level=info msg="| 200 |    2.618792ms |             ::1 | GET | /visitor?visitorId=272bc178-b924-4600-9071-a32e122a1042 |"
time="2025-12-22 16:54:13" level=info msg="| 200 |   32.144041ms |             ::1 | GET | /2/messagesPages?page=1&pagesize=15&visitor_id=272bc178-b924-4600-9071-a32e122a1042 |"
time="2025-12-22 16:55:47" level=info msg="| 200 |    5.543666ms |             ::1 | GET | /main |"
time="2025-12-22 16:55:47" level=info msg="| 200 | 1m50.128879166s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTc2NjM5MzExMiwia2VmdV9pZCI6MSwia2VmdV9uYW1lIjoiYWdlbnQifQ.bko5MeMhwEGoiZWVuAksukFANiBQcZCnT6YnHlHmU5s |"
time="2025-12-22 16:55:47" level=info msg="| 404 |          83ns |             ::1 | GET | /assets/js/functions.js |"
time="2025-12-22 16:55:47" level=info msg="| 200 |   17.278708ms |             ::1 | GET | /kefuinfo |"
time="2025-12-22 16:55:47" level=info msg="| 200 |   14.486375ms |             ::1 | GET | /pannel |"
time="2025-12-22 16:55:47" level=info msg="| 200 |     3.36825ms |             ::1 | GET | /configs |"
time="2025-12-22 16:55:47" level=info msg="| 200 |     5.75375ms |             ::1 | GET | /kefuinfo |"
time="2025-12-22 16:55:48" level=info msg="| 200 |   12.955375ms |             ::1 | GET | /chat_main |"
time="2025-12-22 16:55:48" level=info msg="| 200 |    1.081167ms |             ::1 | GET | /kefuinfo |"
time="2025-12-22 16:55:48" level=info msg="| 200 |     807.958µs |             ::1 | GET | /ipblacks |"
time="2025-12-22 16:55:48" level=info msg="| 200 |       1.312ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-22 16:55:48" level=info msg="| 200 |    1.814125ms |             ::1 | GET | /replys |"
time="2025-12-22 16:55:49" level=info msg="| 200 |    1.449792ms |             ::1 | GET | /visitor?visitorId=272bc178-b924-4600-9071-a32e122a1042 |"
time="2025-12-22 16:55:49" level=info msg="| 200 |    2.899542ms |             ::1 | GET | /2/messagesPages?page=1&pagesize=15&visitor_id=272bc178-b924-4600-9071-a32e122a1042 |"
time="2025-12-22 16:55:57" level=info msg="| 200 |    2.966459ms |             ::1 | GET | /setting |"
time="2025-12-22 16:55:57" level=info msg="| 200 |  8.890236292s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTc2NjM5MzExMiwia2VmdV9pZCI6MSwia2VmdV9uYW1lIjoiYWdlbnQifQ.bko5MeMhwEGoiZWVuAksukFANiBQcZCnT6YnHlHmU5s |"
time="2025-12-22 16:55:57" level=info msg="| 200 |     724.084µs |             ::1 | GET | /kefuinfo |"
time="2025-12-22 16:55:57" level=info msg="| 200 |       869.5µs |             ::1 | GET | /configs |"
time="2025-12-22 16:56:03" level=info msg="| 200 | 10m8.517723625s |             ::1 | GET | /ws_visitor?visitor_id=272bc178-b924-4600-9071-a32e122a1042 |"
time="2025-12-22 16:56:20" level=info msg="| 200 |   57.354833ms |             ::1 | GET | /pannel |"
time="2025-12-22 16:56:20" level=info msg="| 200 |    1.247583ms |             ::1 | GET | /configs |"
time="2025-12-22 16:56:20" level=info msg="| 200 |       9.663ms |             ::1 | GET | /kefuinfo |"
