time="2025-12-25 09:29:04" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-25 09:29:47" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-25 09:30:26" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-25 09:30:37" level=info msg="| 200 |   59.117125ms |             ::1 | GET | /main |"
time="2025-12-25 09:35:31" level=info msg="| 200 |     931.917µs |             ::1 | GET | /kefuinfo |"
time="2025-12-25 09:35:31" level=info msg="| 200 |    1.639416ms |             ::1 | GET | /configs |"
time="2025-12-25 09:35:32" level=info msg="| 200 |   11.213584ms |             ::1 | GET | /chat_main |"
time="2025-12-25 09:35:32" level=info msg="| 200 |      37.459µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:35:32" level=info msg="| 200 |    1.129042ms |             ::1 | GET | /ipblacks |"
time="2025-12-25 09:35:32" level=info msg="| 200 |    1.824125ms |             ::1 | GET | /kefuinfo |"
time="2025-12-25 09:35:32" level=info msg="| 200 |    2.148084ms |             ::1 | GET | /replys |"
time="2025-12-25 09:35:33" level=info msg="| 200 |    1.889625ms |             ::1 | GET | /visitors?page=1&pagesize=20 |"
time="2025-12-25 09:35:36" level=info msg="| 200 |      76.125µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:35:38" level=info msg="| 200 |    1.760541ms |             ::1 | GET | /visitors?page=1&pagesize=20 |"
time="2025-12-25 09:35:42" level=info msg="| 200 |     100.334µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:35:43" level=info msg="| 200 |    1.410625ms |             ::1 | GET | /visitors?page=1&pagesize=20 |"
time="2025-12-25 09:35:45" level=info msg="| 200 |    3.680167ms |             ::1 | GET | /pannel |"
time="2025-12-25 09:35:45" level=info msg="| 200 | 12.642554167s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTc2NjYyNjIzOSwia2VmdV9pZCI6MSwia2VmdV9uYW1lIjoiYWdlbnQifQ.q4_VNKXDsqSIuXE-3u77AH_yluW44CeZvU2pRbJrERI |"
time="2025-12-25 09:35:45" level=info msg="| 200 |    1.105875ms |             ::1 | GET | /kefuinfo |"
time="2025-12-25 09:35:45" level=info msg="| 200 |    4.574292ms |             ::1 | GET | /configs |"
time="2025-12-25 09:35:46" level=info msg="| 200 |   14.168791ms |             ::1 | GET | /chat_main |"
time="2025-12-25 09:35:46" level=info msg="| 200 |      35.959µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:35:46" level=info msg="| 200 |         583µs |             ::1 | GET | /ipblacks |"
time="2025-12-25 09:35:46" level=info msg="| 200 |     920.416µs |             ::1 | GET | /kefuinfo |"
time="2025-12-25 09:35:46" level=info msg="| 200 |    1.042084ms |             ::1 | GET | /replys |"
time="2025-12-25 09:35:48" level=info msg="| 200 |    3.610208ms |             ::1 | GET | /contact_list |"
time="2025-12-25 09:35:48" level=info msg="| 200 |   1.57768275s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTc2NjYyNjIzOSwia2VmdV9pZCI6MSwia2VmdV9uYW1lIjoiYWdlbnQifQ.q4_VNKXDsqSIuXE-3u77AH_yluW44CeZvU2pRbJrERI |"
time="2025-12-25 09:35:48" level=info msg="| 200 |   27.430667ms |             ::1 | GET | /contacts?page=1&pagesize=10 |"
time="2025-12-25 09:35:49" level=info msg="| 200 |   16.161291ms |             ::1 | GET | /chat_main |"
time="2025-12-25 09:35:49" level=info msg="| 200 |     139.291µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:35:49" level=info msg="| 200 |     957.166µs |             ::1 | GET | /kefuinfo |"
time="2025-12-25 09:35:49" level=info msg="| 200 |     903.666µs |             ::1 | GET | /ipblacks |"
time="2025-12-25 09:35:49" level=info msg="| 200 |    1.104542ms |             ::1 | GET | /replys |"
time="2025-12-25 09:35:50" level=info msg="| 200 |    3.011667ms |             ::1 | GET | /main |"
time="2025-12-25 09:35:50" level=info msg="| 200 |  1.269627917s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTc2NjYyNjIzOSwia2VmdV9pZCI6MSwia2VmdV9uYW1lIjoiYWdlbnQifQ.q4_VNKXDsqSIuXE-3u77AH_yluW44CeZvU2pRbJrERI |"
time="2025-12-25 09:35:50" level=info msg="| 404 |         125ns |             ::1 | GET | /assets/js/functions.js |"
time="2025-12-25 09:35:50" level=info msg="| 200 |     906.709µs |             ::1 | GET | /kefuinfo |"
time="2025-12-25 09:35:50" level=info msg="| 200 |    1.829167ms |             ::1 | GET | /pannel |"
time="2025-12-25 09:35:51" level=info msg="| 200 |      1.1285ms |             ::1 | GET | /kefuinfo |"
time="2025-12-25 09:35:51" level=info msg="| 200 |    1.500625ms |             ::1 | GET | /configs |"
time="2025-12-25 09:35:52" level=info msg="| 200 |      11.608ms |             ::1 | GET | /chat_main |"
time="2025-12-25 09:35:52" level=info msg="| 200 |      22.333µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:35:52" level=info msg="| 200 |       2.531ms |             ::1 | GET | /kefuinfo |"
time="2025-12-25 09:35:52" level=info msg="| 200 |    1.984166ms |             ::1 | GET | /ipblacks |"
time="2025-12-25 09:35:52" level=info msg="| 200 |    2.700292ms |             ::1 | GET | /replys |"
time="2025-12-25 09:35:53" level=info msg="| 200 |    2.328125ms |             ::1 | GET | /visitors?page=1&pagesize=20 |"
time="2025-12-25 09:36:19" level=info msg="| 200 |   24.431125ms |             ::1 | GET | /main |"
time="2025-12-25 09:36:19" level=info msg="| 200 | 27.687262459s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTc2NjYyNjIzOSwia2VmdV9pZCI6MSwia2VmdV9uYW1lIjoiYWdlbnQifQ.q4_VNKXDsqSIuXE-3u77AH_yluW44CeZvU2pRbJrERI |"
time="2025-12-25 09:36:19" level=info msg="| 404 |          84ns |             ::1 | GET | /assets/js/functions.js |"
time="2025-12-25 09:36:20" level=info msg="| 200 |   12.658834ms |             ::1 | GET | /pannel |"
time="2025-12-25 09:36:20" level=info msg="| 200 |   42.159584ms |             ::1 | GET | /configs |"
time="2025-12-25 09:36:20" level=info msg="| 200 |  118.833542ms |             ::1 | GET | /kefuinfo |"
time="2025-12-25 09:36:20" level=info msg="| 200 |    1.837791ms |             ::1 | GET | /kefuinfo |"
time="2025-12-25 09:36:21" level=info msg="| 200 |   16.245792ms |             ::1 | GET | /chat_main |"
time="2025-12-25 09:36:21" level=info msg="| 200 |       65.25µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:36:21" level=info msg="| 200 |    4.682375ms |             ::1 | GET | /kefuinfo |"
time="2025-12-25 09:36:21" level=info msg="| 200 |     4.62975ms |             ::1 | GET | /ipblacks |"
time="2025-12-25 09:36:21" level=info msg="| 200 |    4.723375ms |             ::1 | GET | /replys |"
time="2025-12-25 09:37:41" level=info msg="| 200 |   51.975417ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:37:42" level=info msg="send_kefu_message <nil> {\"type\":\"notice\",\"data\":{\"avator\":\"/static/images/2.png\",\"content\":\"Guest incoming!\",\"username\":\"Guest\"}}"
time="2025-12-25 09:37:42" level=info msg="| 200 |  174.275542ms |             ::1 | POST | /visitor_login |"
time="2025-12-25 09:37:42" level=info msg="| 404 |          42ns |             ::1 | GET | /favicon.ico |"
time="2025-12-25 09:37:42" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"new visitor\",\"uid\":\"82dc0312-03e0-4ca0-9d62-9d796f5ace6b\",\"username\":\"Guest\"}}"
time="2025-12-25 09:37:42" level=info msg="| 200 |    8.247667ms |             ::1 | GET | /visitors?page=1&pagesize=20 |"
time="2025-12-25 09:37:42" level=info msg="| 200 |     372.583µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:37:46" level=info msg="| 200 |   74.369291ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:37:46" level=info msg="| 200 |     132.387ms |             ::1 | POST | /visitor_login |"
time="2025-12-25 09:37:46" level=info msg="send_kefu_message <nil> {\"type\":\"notice\",\"data\":{\"avator\":\"/static/images/2.png\",\"content\":\"Guest incoming!\",\"username\":\"Guest\"}}"
time="2025-12-25 09:37:46" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"new visitor\",\"uid\":\"82dc0312-03e0-4ca0-9d62-9d796f5ace6b\",\"username\":\"Guest\"}}"
time="2025-12-25 09:37:49" level=info msg="| 200 |   71.998083ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:37:49" level=info msg="| 200 |    17.33925ms |             ::1 | POST | /visitor_login |"
time="2025-12-25 09:37:49" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"new visitor\",\"uid\":\"82dc0312-03e0-4ca0-9d62-9d796f5ace6b\",\"username\":\"Guest\"}}"
time="2025-12-25 09:37:49" level=info msg="| 200 |   16.362209ms |             ::1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=82dc0312-03e0-4ca0-9d62-9d796f5ace6b |"
time="2025-12-25 09:37:49" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"new visitor\",\"uid\":\"82dc0312-03e0-4ca0-9d62-9d796f5ace6b\",\"username\":\"Guest\"}}"
time="2025-12-25 09:37:49" level=info msg="| 200 |    4.390208ms |             ::1 | GET | /notice?kefu_id=agent |"
time="2025-12-25 09:37:50" level=info msg="send_kefu_message <nil> {\"type\":\"userOffline\",\"data\":{\"name\":\"Guest\",\"uid\":\"82dc0312-03e0-4ca0-9d62-9d796f5ace6b\"}}"
time="2025-12-25 09:37:50" level=info msg="| 200 |  168.731834ms |             ::1 | GET | /ws_visitor?visitor_id=82dc0312-03e0-4ca0-9d62-9d796f5ace6b |"
time="2025-12-25 09:37:52" level=info msg="| 200 |    7.856542ms |             ::1 | GET | /visitors?page=1&pagesize=20 |"
time="2025-12-25 09:38:21" level=info msg="| 200 |    3.886666ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:40:22" level=info msg="| 200 |    4.742625ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:42:22" level=info msg="| 200 |    3.067625ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:44:22" level=info msg="| 200 |    2.356333ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:46:22" level=info msg="| 200 |     7.05575ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:48:22" level=info msg="| 200 |    7.897166ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:49:23" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-25 09:50:04" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-25 09:50:23" level=info msg="| 200 |   60.529333ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:50:26" level=info msg="| 200 |    5.752709ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:50:40" level=info msg="| 200 |      59.732ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:50:41" level=info msg="| 200 |    3.758875ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:50:44" level=info msg="| 200 |       5.648ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:50:47" level=info msg="| 200 |    7.961375ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:50:48" level=info msg="| 200 |    103.8695ms |             ::1 | POST | /visitor_login |"
time="2025-12-25 09:50:48" level=info msg="send_kefu_message <nil> {\"type\":\"notice\",\"data\":{\"avator\":\"/static/images/2.png\",\"content\":\"Guest incoming!\",\"username\":\"Guest\"}}"
time="2025-12-25 09:50:48" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"new visitor\",\"uid\":\"82dc0312-03e0-4ca0-9d62-9d796f5ace6b\",\"username\":\"Guest\"}}"
time="2025-12-25 09:50:48" level=info msg="| 200 |     206.125µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:50:51" level=info msg="| 200 |    6.485042ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:50:52" level=info msg="| 200 |   33.102584ms |             ::1 | POST | /visitor_login |"
time="2025-12-25 09:50:52" level=info msg="send_kefu_message <nil> {\"type\":\"notice\",\"data\":{\"avator\":\"/static/images/2.png\",\"content\":\"Guest incoming!\",\"username\":\"Guest\"}}"
time="2025-12-25 09:50:52" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"new visitor\",\"uid\":\"82dc0312-03e0-4ca0-9d62-9d796f5ace6b\",\"username\":\"Guest\"}}"
time="2025-12-25 09:50:55" level=info msg="| 200 |   13.105125ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:50:58" level=info msg="| 200 |   10.322833ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:51:02" level=info msg="| 200 |    5.301834ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:51:05" level=info msg="| 200 |    5.167542ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:51:05" level=info msg="| 200 |   93.666041ms |             ::1 | POST | /visitor_login |"
time="2025-12-25 09:51:05" level=info msg="send_kefu_message <nil> {\"type\":\"userOnline\",\"data\":{\"avator\":\"/static/images/2.png\",\"last_message\":\"new visitor\",\"uid\":\"82dc0312-03e0-4ca0-9d62-9d796f5ace6b\",\"username\":\"Guest\"}}"
time="2025-12-25 09:51:09" level=info msg="| 200 |    7.293333ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:51:12" level=info msg="| 200 |    3.448084ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:51:15" level=info msg="| 200 |    2.996917ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-25 09:53:03" level=info msg="| 200 |    3.666166ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:54:22" level=info msg="| 200 |    4.422917ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:57:03" level=info msg="| 200 |    3.474541ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 09:59:03" level=info msg="| 200 |     102.541µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 10:01:03" level=info msg="| 200 |   56.399292ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 10:03:03" level=info msg="| 200 |    3.641125ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 10:05:03" level=info msg="| 200 |    2.476875ms |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 10:07:03" level=info msg="| 200 |     132.583µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 10:09:03" level=info msg="| 200 |     131.666µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 10:11:03" level=info msg="| 200 |       208.5µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 10:13:03" level=info msg="| 200 |     196.167µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 10:15:03" level=info msg="| 200 |     122.083µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 10:17:03" level=info msg="| 200 |     168.042µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 10:19:03" level=info msg="| 200 |      131.75µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 10:21:03" level=info msg="| 200 |     564.958µs |             ::1 | GET | /visitors_kefu_online |"
time="2025-12-25 10:26:37" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-25 11:01:48" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
